game_id,season,week,season_type,start_date,start_time_tbd,completed,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_division,home_conference,home_points,home_post_win_prob,home_pregame_elo,home_postgame_elo,away_id,away_team,away_division,away_conference,away_points,away_post_win_prob,away_pregame_elo,away_postgame_elo,excitement_index,highlights,notes,home_win,point_diff
401426532,2022,1,regular,2022-08-27T16:00:00.000Z,FALSE,TRUE,FALSE,FALSE,13688,3796,Houchens Industries-L.T. Smith Stadium,98,Western Kentucky,fbs,Conference USA,38,0.9542764266226265,1684,1684,2046,Austin Peay,fcs,Atlantic Sun,27,0.04572357337737354,NA,NA,2.6135509766,,NA,1,11
401405059,2022,1,regular,2022-08-27T16:30:00.000Z,FALSE,TRUE,TRUE,TRUE,NA,3504,Aviva Stadium,77,Northwestern,fbs,Big Ten,31,0.5475434597351944,1361,1381,158,Nebraska,fbs,Big Ten,28,0.45245654026480564,1636,1616,8.3493556676,,NA,1,3
401439512,2022,1,regular,2022-08-27T19:00:00.000Z,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,125762,Florida Memorial University,NA,NA,39,NA,NA,NA,2206,Edward Waters,ii,SIAC,34,NA,NA,NA,NA,,NA,1,5
401413213,2022,1,regular,2022-08-27T19:30:00.000Z,FALSE,TRUE,TRUE,FALSE,NA,3689,Cramton Bowl,55,Jacksonville State,fcs,Atlantic Sun,42,0.9988170830316713,NA,NA,2617,Stephen F. Austin,fcs,Western Athletic,17,0.0011829169683287288,NA,NA,5.2414690984,,FCS Kickoff,1,25
401413256,2022,1,regular,2022-08-27T19:30:00.000Z,FALSE,TRUE,FALSE,FALSE,19579,6501,Allegiant Stadium,2439,UNLV,fbs,Mountain West,52,0.9988837999616828,1300,1300,304,Idaho State,fcs,Big Sky,21,0.00111620003831725,NA,NA,1.5942419241,,NA,1,31
401405058,2022,1,regular,2022-08-27T20:00:00.000Z,FALSE,TRUE,FALSE,FALSE,37832,3832,"Memorial Stadium (Champaign, IL)",356,Illinois,fbs,Big Ten,38,0.9974722912053572,1496,1584,2751,Wyoming,fbs,Mountain West,6,0.0025277087946428134,1497,1409,2.571416914,,NA,1,32
401404146,2022,1,regular,2022-08-27T20:00:00.000Z,FALSE,TRUE,FALSE,FALSE,19553,3905,Maverik Stadium,328,Utah State,fbs,Mountain West,31,0.9891655857079721,1566,1555,41,UConn,fbs,FBS Independents,20,0.010834414292027916,1117,1128,4.5637067523,,NA,1,11
401411090,2022,1,regular,2022-08-27T21:00:00.000Z,FALSE,TRUE,FALSE,FALSE,51207,3697,Doak Campbell Stadium,52,Florida State,fbs,ACC,47,0.9989422079694538,1501,1501,2184,Duquesne,fcs,NEC,7,0.001057792030546234,NA,NA,1.058953588,,NA,1,40
401423448,2022,1,regular,2022-08-27T23:00:00.000Z,FALSE,TRUE,TRUE,FALSE,NA,4246,Center Parc Stadium,2011,Alabama State,fcs,SWAC,23,0.9706268530036973,NA,NA,47,Howard,fcs,MEAC,13,0.029373146996302668,NA,NA,5.8728268228,,Cricket MEAC/SWAC Challenge Kickoff,1,10
401422922,2022,1,regular,2022-08-27T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,NA,4417,Five Star Stadium at the Moye Complex,2382,Mercer,fcs,Southern,63,0.9989681925900179,NA,NA,2413,Morehead State,fcs,Pioneer,13,0.0010318074099820995,NA,NA,1.1544784977,,NA,1,50
401426530,2022,1,regular,2022-08-27T23:00:00.000Z,FALSE,TRUE,FALSE,TRUE,19571,3715,FAU Stadium,2226,Florida Atlantic,fbs,Conference USA,43,0.9988415542177018,1427,1488,2429,Charlotte,fbs,Conference USA,13,0.0011584457822981786,1272,1211,6.6262524505,,NA,1,30
401411091,2022,1,regular,2022-08-28T00:15:00.000Z,FALSE,TRUE,FALSE,FALSE,46130,3787,Kenan Stadium,153,North Carolina,fbs,ACC,56,0.9637007807373211,1555,1555,50,Florida A&M,fcs,SWAC,24,0.03629921926267887,NA,NA,1.2411118443,,NA,1,32
401426531,2022,1,regular,2022-08-28T01:00:00.000Z,FALSE,TRUE,FALSE,TRUE,45971,3946,Sun Bowl,2638,UTEP,fbs,Conference USA,13,0.004746335356215618,1360,1323,249,North Texas,fbs,Conference USA,31,0.9952536646437844,1426,1463,4.1152955946,,NA,0,-18
401409235,2022,1,regular,2022-08-28T02:00:00.000Z,FALSE,TRUE,FALSE,FALSE,NA,3601,Aggie Memorial Stadium,166,New Mexico State,fbs,FBS Independents,12,0.13436970618775704,1184,1192,2440,Nevada,fbs,Mountain West,23,0.865630293812243,1564,1556,3.8315877915,,NA,0,-11
401403853,2022,1,regular,2022-08-28T02:30:00.000Z,FALSE,TRUE,FALSE,FALSE,9346,7220,Clarence T.C. Ching Athletics Complex,62,Hawai'i,fbs,Mountain West,10,3.589600988952661e-4,1432,1223,238,Vanderbilt,fbs,SEC,63,0.9996410399011048,1222,1431,2.4199370723,,NA,0,-53
401437007,2022,1,regular,2022-09-01T18:00:00.000Z,FALSE,TRUE,FALSE,FALSE,NA,6059,Sanchez Family Stadium,2424,New Mexico Highlands,ii,Rocky Mountain,18,NA,NA,NA,2201,Eastern New Mexico,ii,Lone Star,34,NA,NA,NA,NA,,NA,0,-16
401433043,2022,1,regular,2022-09-01T21:30:00.000Z,FALSE,TRUE,FALSE,FALSE,NA,6071,Jess Dow Field,2583,Southern Connecticut State,ii,Northeast 10,7,NA,NA,NA,2974,Shepherd,ii,Pennsylvania State Athletic,48,NA,NA,NA,NA,,NA,0,-41
401431561,2022,1,regular,2022-09-01T22:00:00.000Z,FALSE,TRUE,FALSE,FALSE,NA,3885,Harvey Randall Wickes Memorial Stadium,129,Saginaw Valley State,ii,GLIAC,72,NA,NA,NA,455,West Virginia Wesleyan,ii,Mountain East,0,NA,NA,NA,NA,,NA,1,72
401430716,2022,1,regular,2022-09-01T22:00:00.000Z,FALSE,TRUE,FALSE,FALSE,NA,6221,Mitchell Stadium,124180,Bluefield State,ii,Independent DII,35,NA,NA,NA,2304,Johnson C Smith,ii,CIAA,34,NA,NA,NA,NA,,NA,1,1
401428480,2022,1,regular,2022-09-01T22:00:00.000Z,FALSE,TRUE,FALSE,FALSE,NA,3979,Wagner College Stadium,2681,Wagner,fcs,NEC,31,0.021548552059047384,NA,NA,2230,Fordham,fcs,Patriot,48,0.9784514479409526,NA,NA,9.5471969422,,NA,0,-17
401416568,2022,1,regular,2022-09-01T22:00:00.000Z,FALSE,TRUE,FALSE,FALSE,8752,3768,InfoCision Stadium,2006,Akron,fbs,Mid-American,30,0.1525386772554026,1096,1096,2598,St. Francis (PA),fcs,NEC,23,0.8474613227445974,NA,NA,12.0273396679,,NA,1,7
401418776,2022,1,regular,2022-09-01T22:00:00.000Z,FALSE,TRUE,FALSE,FALSE,NA,3829,Memorial Stadium,282,Indiana State,fcs,MVFC,17,0.7517577314415437,NA,NA,2453,North Alabama,fcs,Atlantic Sun,14,0.24824226855845632,NA,NA,13.4274129564,,NA,1,3
401430722,2022,1,regular,2022-09-01T22:00:00.000Z,FALSE,TRUE,FALSE,FALSE,NA,6078,Pioneer Field (TN),2839,Greeneville,ii,South Atlantic,70,NA,NA,NA,395,St. Augustine's,ii,CIAA,13,NA,NA,NA,NA,,NA,1,57
401431542,2022,1,regular,2022-09-01T22:00:00.000Z,FALSE,TRUE,FALSE,FALSE,NA,3927,Sherman Field,2392,Michigan Tech,ii,GLIAC,23,NA,NA,NA,272,Wisconsin-Platteville,iii,Wisconsin,13,NA,NA,NA,NA,,NA,1,10
401432134,2022,1,regular,2022-09-01T22:00:00.000Z,FALSE,TRUE,FALSE,FALSE,NA,4437,"Memorial Stadium (Clarion, PA)",2134,Clarion,ii,Pennsylvania State Athletic,14,NA,NA,NA,2699,West Liberty,ii,Mountain East,21,NA,NA,NA,NA,,NA,0,-7
401431571,2022,1,regular,2022-09-01T22:00:00.000Z,FALSE,TRUE,FALSE,FALSE,NA,3770,Jack Miller Stadium,308,Ashland,ii,Great Midwest Athletic,31,NA,NA,NA,587,Notre Dame College,ii,Mountain East,14,NA,NA,NA,NA,,NA,1,17
401431978,2022,1,regular,2022-09-01T22:00:00.000Z,FALSE,TRUE,FALSE,FALSE,NA,5220,Garrison Stadium,2804,Chowan,ii,CIAA,3,NA,NA,NA,122666,Wilson,ii,South Atlantic,17,NA,NA,NA,NA,,NA,0,-14
401421137,2022,1,regular,2022-09-01T22:00:00.000Z,FALSE,TRUE,FALSE,FALSE,NA,3629,Barker-Lane Stadium,2097,Campbell,fcs,Big South,29,0.4490293170216029,NA,NA,2643,The Citadel,fcs,Southern,10,0.5509706829783971,NA,NA,2.5381447024,,NA,1,19
401432987,2022,1,regular,2022-09-01T22:30:00.000Z,FALSE,TRUE,FALSE,FALSE,NA,4436,Adamson Stadium,2858,PennWest California,ii,Pennsylvania State Athletic,35,NA,NA,NA,2986,Fairmont State,ii,Mountain East,15,NA,NA,NA,NA,,NA,1,20
401411092,2022,1,regular,2022-09-01T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,70622,3752,Acrisure Stadium,221,Pittsburgh,fbs,ACC,38,0.9865973304508046,1667,1667,277,West Virginia,fbs,Big 12,31,0.013402669549195445,1490,1490,9.9132290774,,NA,1,7
401416569,2022,1,regular,2022-09-01T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,53808,3646,Boone Pickens Stadium,197,Oklahoma State,fbs,Big 12,58,0.6006092661124897,1775,1783,2117,Central Michigan,fbs,Mid-American,44,0.39939073388751034,1536,1528,2.0476622516,,NA,1,14
401441990,2022,1,regular,2022-09-01T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,21291,3739,Glass Bowl,2649,Toledo,fbs,Mid-American,37,0.9934810154032379,1534,1534,2341,Long Island University,fcs,NEC,0,0.006518984596762145,NA,NA,1.1696927417,,NA,1,37
401424414,2022,1,regular,2022-09-01T23:00:00.000Z,FALSE,TRUE,FALSE,TRUE,NA,3788,Kenneth P. LaValle Stadium,2619,Stony Brook,fcs,CAA,14,0.22816847547077165,NA,NA,227,Rhode Island,fcs,CAA,35,0.7718315245292283,NA,NA,4.981276982,,NA,0,-21
401418645,2022,1,regular,2022-09-01T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,NA,3925,Seibert Stadium,2535,Samford,fcs,Southern,27,0.9355415998201145,NA,NA,338,Kennesaw State,fcs,Atlantic Sun,17,0.06445840017988547,NA,NA,7.2965680965,,NA,1,10
401438660,2022,1,regular,2022-09-01T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,NA,5918,Taylor Field,6353,Lakeland,iii,NACC,20,NA,NA,NA,2286,Illinois College,iii,Midwest,38,NA,NA,NA,NA,,NA,0,-18
401421156,2022,1,regular,2022-09-01T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,NA,3868,Paladin Stadium,231,Furman,fcs,Southern,52,0.9989693463802006,NA,NA,2822,North Greenville,ii,Gulf South,0,0.001030653619799371,NA,NA,3.2659842888,,NA,1,52
401430986,2022,1,regular,2022-09-01T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,NA,6081,Harper Davis Field,2398,Millsaps,iii,Southern Athletic,21,NA,NA,NA,2056,Belhaven,iii,USA South,49,NA,NA,NA,NA,,NA,0,-28
401438604,2022,1,regular,2022-09-01T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,NA,6033,Carl Smith Stadium,2842,UVA Wise,ii,South Atlantic,41,NA,NA,NA,366,Ferrum,iii,Old Dominion,9,NA,NA,NA,NA,,NA,1,32
401430702,2022,1,regular,2022-09-01T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,NA,6032,Hovey Field,2676,Virginia Union,ii,CIAA,77,NA,NA,NA,2355,Virginia University Of Lynchburg,NA,NA,0,NA,NA,NA,NA,,NA,1,77
401415610,2022,1,regular,2022-09-01T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,43810,3652,FBC Mortgage Stadium,2116,UCF,fbs,American Athletic,56,0.9984790415014342,1569,1569,2569,South Carolina State,fcs,MEAC,10,0.0015209584985658164,NA,NA,1.0567765213,,NA,1,46
401432412,2022,1,regular,2022-09-01T23:00:00.000Z,FALSE,TRUE,FALSE,TRUE,NA,3606,Scheels Field at Nemzek Stadium,2817,Minnesota State Moorhead,ii,Northern Sun,14,NA,NA,NA,2894,Sioux Falls,ii,Northern Sun,27,NA,NA,NA,NA,,NA,0,-13
401431214,2022,1,regular,2022-09-01T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,NA,6130,Fred Zollner Athletic Stadium,2651,Trine University,iii,Michigan,38,NA,NA,NA,2023,Anderson (IN),iii,Heartland,0,NA,NA,NA,NA,,NA,1,38
401426533,2022,1,regular,2022-09-01T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,NA,218,FIU Stadium,2229,Florida International,fbs,Conference USA,38,0.4071406938200985,1080,1080,2803,Bryant,fcs,Big South,37,0.5928593061799015,NA,NA,12.8939729771,,NA,1,1
401432119,2022,1,regular,2022-09-01T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,NA,3642,Bobcat Stadium (MD),341,Frostburg State,ii,Mountain East,21,NA,NA,NA,2022,American International,ii,Northeast 10,7,NA,NA,NA,NA,,NA,1,14
401431484,2022,1,regular,2022-09-01T23:00:00.000Z,FALSE,TRUE,FALSE,TRUE,NA,3934,Southern Nazarene University Football Stadium,200,Southern Nazarene,ii,Great American,26,NA,NA,NA,2028,Arkansas-Monticello,ii,Great American,40,NA,NA,NA,NA,,NA,0,-14
401431479,2022,1,regular,2022-09-01T23:00:00.000Z,FALSE,TRUE,FALSE,TRUE,NA,5891,Wilkins Stadium,2568,Southern Arkansas,ii,Great American,62,NA,NA,NA,2823,Northwestern Oklahoma State,ii,Great American,31,NA,NA,NA,NA,,NA,1,31
401431472,2022,1,regular,2022-09-01T23:00:00.000Z,FALSE,TRUE,FALSE,TRUE,NA,3875,Paul Laird Field,199,Southeastern Oklahoma State,ii,Great American,41,NA,NA,NA,2033,Arkansas Tech,ii,Great American,34,NA,NA,NA,NA,,NA,1,7
401431465,2022,1,regular,2022-09-01T23:00:00.000Z,FALSE,TRUE,FALSE,TRUE,NA,6064,Crain Family Stadium,319,Oklahoma Baptist,ii,Great American,32,NA,NA,NA,2888,Ouachita Baptist,ii,Great American,42,NA,NA,NA,NA,,NA,0,-10
401431408,2022,1,regular,2022-09-01T23:00:00.000Z,FALSE,TRUE,FALSE,TRUE,NA,5936,Koi Ishto Stadium,2191,East Central (OK),ii,Great American,12,NA,NA,NA,2264,Harding University,ii,Great American,29,NA,NA,NA,NA,,NA,0,-17
401424402,2022,1,regular,2022-09-01T23:00:00.000Z,FALSE,TRUE,FALSE,TRUE,NA,3688,Wildcat Stadium,160,New Hampshire,fcs,CAA,31,0.9731824762188481,NA,NA,2405,Monmouth,fcs,CAA,21,0.026817523781151875,NA,NA,10.2052889162,,NA,1,10
401431517,2022,1,regular,2022-09-01T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,NA,3723,QU Stadium,2825,Quincy,ii,Great Lakes,15,NA,NA,NA,2249,Glenville State,ii,Mountain East,44,NA,NA,NA,NA,,NA,0,-29
401431509,2022,1,regular,2022-09-01T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,NA,3609,Allgood-Bailey Stadium,2402,Missouri S&T,ii,Great Lakes,20,NA,NA,NA,613,South Dakota Mines,ii,Rocky Mountain,43,NA,NA,NA,NA,,NA,0,-23
401431499,2022,1,regular,2022-09-01T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,NA,3950,Superior Dome,128,Northern Michigan,ii,GLIAC,24,NA,NA,NA,2816,McKendree,ii,Great Lakes,31,NA,NA,NA,NA,,NA,0,-7
401432239,2022,1,regular,2022-09-01T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,NA,3710,Ernest W. Spangler Stadium,2241,Gardner-Webb,fcs,Big South,56,0.998754625306851,NA,NA,2336,Limestone,ii,South Atlantic,21,0.001245374693149004,NA,NA,2.5774940634,,NA,1,35
401431849,2022,1,regular,2022-09-01T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,NA,4851,Bazemore-Hyder Stadium,2673,Valdosta State,ii,Gulf South,36,NA,NA,NA,126110,Keiser University,NA,NA,21,NA,NA,NA,NA,,NA,1,15
401432383,2022,1,regular,2022-09-01T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,NA,6074,Grappone Stadium,2830,St. Anselm,ii,Northeast 10,28,NA,NA,NA,210,Millersville,ii,Pennsylvania State Athletic,10,NA,NA,NA,NA,,NA,1,18
401432152,2022,1,regular,2022-09-01T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,NA,6212,Bishop Schmitt Field,112335,Wheeling,ii,Mountain East,25,NA,NA,NA,611,Seton Hill,ii,Pennsylvania State Athletic,11,NA,NA,NA,NA,,NA,1,14
401431936,2022,1,regular,2022-09-01T23:00:00.000Z,FALSE,TRUE,FALSE,TRUE,NA,6034,Yager Stadium at Moore Bowl,2687,Washburn,ii,Mid America,45,NA,NA,NA,2876,Lincoln (MO),ii,Mid America,3,NA,NA,NA,NA,,NA,1,42
401431531,2022,1,regular,2022-09-01T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,NA,3811,Lubbers Stadium,125,Grand Valley State University,ii,GLIAC,25,NA,NA,NA,2146,Colorado School Of Mines,ii,Rocky Mountain,22,NA,NA,NA,NA,,NA,1,3
401432429,2022,1,regular,2022-09-01T23:00:00.000Z,FALSE,TRUE,FALSE,TRUE,NA,3951,Swisher Field,425,Northern State,ii,Northern Sun,30,NA,NA,NA,389,Upper Iowa University,ii,Northern Sun,0,NA,NA,NA,NA,,NA,1,30
401455581,2022,1,regular,2022-09-01T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,NA,6066,Pace Stadium,2487,Pace,ii,Northeast 10,31,NA,NA,NA,2188,East Stroudsburg University,ii,Pennsylvania State Athletic,16,NA,NA,NA,NA,,NA,1,15
401432392,2022,1,regular,2022-09-01T23:00:00.000Z,FALSE,TRUE,FALSE,TRUE,NA,5874,Chet Anderson Stadium,132,Bemidji State,ii,Northern Sun,34,NA,NA,NA,2364,Minnesota State Mankato,ii,Northern Sun,37,NA,NA,NA,NA,,NA,0,-3
401432403,2022,1,regular,2022-09-01T23:00:00.000Z,FALSE,TRUE,FALSE,TRUE,NA,6051,James S. Malosky Stadium,134,Minnesota Duluth,ii,Northern Sun,31,NA,NA,NA,2587,Southwest Minnesota State,ii,Northern Sun,21,NA,NA,NA,NA,,NA,1,10
401438595,2022,1,regular,2022-09-01T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,NA,4441,McConnell Family Stadium,367,Gannon,ii,Pennsylvania State Athletic,47,NA,NA,NA,2128,University Of Charleston (WV),ii,Mountain East,13,NA,NA,NA,NA,,NA,1,34
401403864,2022,1,regular,2022-09-01T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,92236,3853,Neyland Stadium,2633,Tennessee,fbs,SEC,59,0.9984193930948007,1640,1756,2050,Ball State,fbs,Mid-American,10,0.0015806069051993443,1410,1294,1.1199358518,,NA,1,49
401432421,2022,1,regular,2022-09-01T23:30:00.000Z,FALSE,TRUE,FALSE,TRUE,NA,5933,Sea Foam Stadium,3066,Concordia University St Paul,ii,Northern Sun,14,NA,NA,NA,2043,Augustana University (SD),ii,Northern Sun,28,NA,NA,NA,NA,,NA,0,-14
401431591,2022,1,regular,2022-09-01T23:30:00.000Z,FALSE,TRUE,FALSE,FALSE,NA,3960,Top Taggart Field,2222,Ferris State,ii,GLIAC,36,NA,NA,NA,2120,Central Washington,ii,Lone Star,20,NA,NA,NA,NA,,NA,1,16
401425510,2022,1,regular,2022-09-01T23:30:00.000Z,FALSE,TRUE,FALSE,FALSE,NA,5400,William B. Greene Jr. Stadium,2193,East Tennessee State,fcs,Southern,44,0.9988081056694157,NA,NA,2369,Mars Hill,ii,South Atlantic,7,0.0011918943305843088,NA,NA,2.8247297936,,NA,1,37
401411093,2022,1,regular,2022-09-01T23:30:00.000Z,FALSE,TRUE,FALSE,FALSE,26013,3630,Allegacy Federal Credit Union Stadium,154,Wake Forest,fbs,ACC,44,0.9970047424463461,1640,1640,2678,VMI,fcs,Southern,10,0.0029952575536539294,NA,NA,1.2759959221,,NA,1,34
401420840,2022,1,regular,2022-09-01T23:30:00.000Z,FALSE,TRUE,FALSE,FALSE,NA,3748,Graham Stadium,2630,UT Martin,fcs,OVC,42,0.9943767706910461,NA,NA,2710,Western Illinois,fcs,MVFC,25,0.00562322930895387,NA,NA,2.8685095093,,NA,1,17
401431886,2022,1,regular,2022-09-02T00:00:00.000Z,FALSE,TRUE,FALSE,FALSE,NA,5869,LeGrand Stadium at 1st Community Credit Union Field,2025,Angelo State,ii,Lone Star,35,NA,NA,NA,2123,Chadron St,ii,Rocky Mountain,0,NA,NA,NA,NA,,NA,1,35
401418782,2022,1,regular,2022-09-02T00:00:00.000Z,FALSE,TRUE,FALSE,TRUE,NA,5440,Wildcat Stadium (TX),2000,Abilene Christian,fcs,Western Athletic,28,0.7174451425383288,NA,NA,2320,Lamar,fcs,Southland,14,0.2825548574616712,NA,NA,3.9534785416,,NA,1,14
401431926,2022,1,regular,2022-09-02T00:00:00.000Z,FALSE,TRUE,FALSE,TRUE,NA,5134,Bearcat Stadium,138,Northwest Missouri St,ii,Mid America,33,NA,NA,NA,2231,Fort Hays State,ii,Mid America,19,NA,NA,NA,NA,,NA,1,14
401405064,2022,1,regular,2022-09-02T00:00:00.000Z,FALSE,TRUE,FALSE,TRUE,NA,3907,Ross-Ade Stadium,2509,Purdue,fbs,Big Ten,31,0.48506051458343835,1635,1631,213,Penn State,fbs,Big Ten,35,0.5149394854165616,1670,1674,9.5688027282,,NA,0,-4
401416592,2022,1,regular,2022-09-02T00:00:00.000Z,FALSE,TRUE,FALSE,FALSE,10864,3764,Huskie Stadium,2459,Northern Illinois,fbs,Mid-American,34,0.4425623159458263,1376,1376,2197,Eastern Illinois,fcs,OVC,27,0.5574376840541737,NA,NA,1.4468880733,,NA,1,7
401421125,2022,1,regular,2022-09-02T00:00:00.000Z,FALSE,TRUE,FALSE,FALSE,NA,4762,Memorial Stadium (Commerce TX),2837,East Texas A&M,fcs,Southland,52,0.9989703168967483,NA,NA,124179,Lincoln (CA),NA,NA,7,0.0010296831032516884,NA,NA,3.1452939205,,NA,1,45
401431610,2022,1,regular,2022-09-02T00:00:00.000Z,FALSE,TRUE,FALSE,FALSE,NA,3942,Stewart Stadium,2692,Weber State,fcs,Big Sky,41,0.8492154740129105,NA,NA,2848,Western Oregon,ii,Lone Star,5,0.15078452598708947,NA,NA,4.250720279,,NA,1,36
401426534,2022,1,regular,2022-09-02T00:00:00.000Z,FALSE,TRUE,FALSE,FALSE,32542,7221,Protective Stadium,5,UAB,fbs,Conference USA,59,0.9989403826160401,1546,1546,2010,Alabama A&M,fcs,SWAC,0,0.0010596173839598766,NA,NA,1.0305953775,,NA,1,59
401420880,2022,1,regular,2022-09-02T00:00:00.000Z,FALSE,TRUE,FALSE,FALSE,NA,3827,"Memorial Stadium (Stephenville, TX)",2627,Tarleton State,fcs,Western Athletic,29,NA,NA,NA,2400,Mississippi Valley State,fcs,SWAC,13,NA,NA,NA,NA,,NA,1,16
401426537,2022,1,regular,2022-09-02T00:00:00.000Z,FALSE,TRUE,FALSE,FALSE,47653,3838,Memorial Stadium,142,Missouri,fbs,SEC,52,0.995361330261684,1404,1465,2348,Louisiana Tech,fbs,Conference USA,24,0.004638669738315948,1301,1240,2.5195936354,,NA,1,28
401431457,2022,1,regular,2022-09-02T00:00:00.000Z,FALSE,TRUE,FALSE,TRUE,NA,5113,Ruggles Field at Carpenter-Haygood Stadium,2271,Henderson State,ii,Great American,30,NA,NA,NA,2927,Southwestern Oklahoma State,ii,Great American,13,NA,NA,NA,NA,,NA,1,17
401433070,2022,1,regular,2022-09-02T00:00:00.000Z,FALSE,TRUE,TRUE,FALSE,NA,6209,Henry Biesiot Activities Center,316,Dickinson State University,NA,NA,2,NA,NA,NA,2069,Black Hills State,ii,Rocky Mountain,17,NA,NA,NA,NA,,NA,0,-15
401420877,2022,1,regular,2022-09-02T00:00:00.000Z,FALSE,TRUE,FALSE,FALSE,NA,3706,Eccles Coliseum,253,Southern Utah,fcs,Western Athletic,44,0.8317519695737919,NA,NA,2900,St. Thomas (MN),fcs,Pioneer,13,0.16824803042620806,NA,NA,5.970611935,,NA,1,31
401433087,2022,1,regular,2022-09-02T00:00:00.000Z,FALSE,TRUE,FALSE,FALSE,NA,4753,Greene Stadium,2911,William Jewell,ii,Great Lakes,14,NA,NA,NA,11,Colorado Mesa,ii,Rocky Mountain,37,NA,NA,NA,NA,,NA,0,-23
401420806,2022,1,regular,2022-09-02T00:00:00.000Z,FALSE,TRUE,FALSE,FALSE,NA,3711,Estes Stadium,2110,Central Arkansas,fcs,Atlantic Sun,14,0.2905439291739932,NA,NA,2623,Missouri State,fcs,MVFC,27,0.7094560708260068,NA,NA,7.3614507409,,NA,0,-13
401432372,2022,1,regular,2022-09-02T00:00:00.000Z,FALSE,TRUE,FALSE,TRUE,NA,5942,Francis G. Welch Stadium,2214,Emporia State University,ii,Mid America,42,NA,NA,NA,196,Northeastern State,ii,Mid America,17,NA,NA,NA,NA,,NA,1,25
401432370,2022,1,regular,2022-09-02T00:00:00.000Z,FALSE,TRUE,FALSE,TRUE,NA,6055,Craig Field at Spratt Memorial Stadium,137,Missouri Western,ii,Mid America,35,NA,NA,NA,2122,Central Oklahoma,ii,Mid America,0,NA,NA,NA,NA,,NA,1,35
401431945,2022,1,regular,2022-09-02T00:00:00.000Z,FALSE,TRUE,FALSE,TRUE,NA,6054,Fred G. Hughes Stadium,2403,Missouri Southern State,ii,Mid America,7,NA,NA,NA,2438,Nebraska-Kearney,ii,Mid America,24,NA,NA,NA,NA,,NA,0,-17
401431915,2022,1,regular,2022-09-02T00:00:00.000Z,FALSE,TRUE,FALSE,TRUE,NA,6067,Carnie Smith Stadium,90,Pittsburg St,ii,Mid America,21,NA,NA,NA,2118,Central Missouri,ii,Mid America,10,NA,NA,NA,NA,,NA,1,11
401405060,2022,1,regular,2022-09-02T01:00:00.000Z,FALSE,TRUE,FALSE,FALSE,44012,3953,Huntington Bank Stadium,135,Minnesota,fbs,Big Ten,38,0.998958161112331,1639,1691,166,New Mexico State,fbs,FBS Independents,0,0.0010418388876689555,1192,1140,1.1471103779,,NA,1,38
401403965,2022,1,regular,2022-09-02T02:00:00.000Z,FALSE,TRUE,FALSE,FALSE,44764,3947,Mountain America Stadium,9,Arizona State,fbs,Pac-12,40,0.9989392046460328,1614,1614,2464,Northern Arizona,fcs,Big Sky,3,0.0010607953539671922,NA,NA,1.5428432012,,NA,1,37
401413224,2022,1,regular,2022-09-02T02:30:00.000Z,FALSE,TRUE,FALSE,FALSE,36011,3660,Valley Children's Stadium,278,Fresno State,fbs,Mountain West,35,0.9988563943420083,1590,1590,13,Cal Poly,fcs,Big Sky,7,0.0011436056579916531,NA,NA,1.1488744416,,NA,1,28
401415213,2022,1,regular,2022-09-02T02:30:00.000Z,FALSE,TRUE,FALSE,FALSE,16291,3935,CEFCU Stadium,23,San José State,fbs,Mountain West,21,0.00902612416907343,1338,1338,2502,Portland State,fcs,Big Sky,17,0.9909738758309266,NA,NA,5.4525229031,,NA,1,4
401450192,2022,1,regular,2022-09-02T22:00:00.000Z,FALSE,TRUE,FALSE,FALSE,NA,6114,Sea Gull Stadium,2532,Salisbury,iii,New Jersey,49,NA,NA,NA,2015,Albright,iii,Mid Atlantic,0,NA,NA,NA,NA,,NA,1,49
